id,poj_input,poj_unicode,tailo_input,tailo_unicode,hanlo,hoagi,from
1,sian7-neh,siān-neh,sian7-neh,siān-neh,𤺪呢,討厭,Liz Lin
2,su2-su7,sú-sū,su2-su7,sú-sū,死侍,死侍,Liz Lin
3,tiam2-lu-eng5-boo7,tiám-lu-êng-bō͘,tiam2-lu-ing5-boo7,tiám-lu-îng-bōo,點攄螢幕,觸控螢幕,Liz Lin
4,toa7-lang5 chhoa7 gin2-a2 khi3 chhit-tho5,tōa-lâng chhōa gín-á khì chhit-thô,tua7-lang5 tshua7 gin2-a2 khi3 tshit-tho5,tuā-lâng tshuā gín-á khì tshit-thô,大人𤆬囡仔去𨑨迌,大人帶小孩去玩耍,葉怡萱
5,sia2 khoo2,siá khó͘,sia2 khoo2,siá khóo,寫許,寫程式,WuPomin
6,hiap8-koh,hia̍p-koh,hiap8-koh,hia̍p-koh,拹閣,黑客,WuPomin
7,kip-so3,kip-sò,kip-so3,kip-sò,急躁,焦慮,Liz Lin
8,po2-chhinn-mooh8,pó-chhiⁿ-mo̍͘h,po2-tshinn-mooh8,pó-tshinn-mo̍oh,保鮮膜,保鮮膜,Liz Lin
9,chui2-chhenn to3-thau5 kiann5,chúi-chheⁿ tò-thâu kiâⁿ,tsui2-tshenn to3-thau5 kiann5,tsuí-tshenn tò-thâu kiânn,水星倒頭行,水逆,Liz Lin
10,chhu-kia7,chhu-kiā,tshu-kia7,tshu-kiā,趨崎,滑坡,Liz Lin
11,te7-tang7-boe2,tē-tāng-bóe,te7-tang7-bue2,tē-tāng-bué,地動尾,餘震,Liz Lin
12,goa2 be7-hiau2,góa bē-hiáu,gua2 be7-hiau2,guá bē-hiáu,我袂曉,我不會,Morrison Iûnn
13,phui3-that-a2,phùi-that-á,phui3-that-a2,phuì-that-á,屁窒仔,小屁孩,匿名
14,hiong5-sam hui-toann5,hiông-sam hui-tôaⁿ,hiong5-sam hui-tuann5,hiông-sam hui-tuânn,雄三飛彈,雄三飛彈,匿名
15,oo-peh8 chhi3,o͘-pe̍h chhì,oo-peh8 tshi3,oo-pe̍h tshì,烏白試,亂試,匿名
16,toa7-liap8-nng7,tōa-lia̍p-nn̄g,tua7-liap8-nng7,tuā-lia̍p-nn̄g,大粒卵,巨蛋,匿名
17,chhenn-hoe/chhinn-hoe,chheⁿ-hoe/chhiⁿ-hoe,tshenn-hue/tshinn-hue,tshenn-hue/tshinn-hue,青花,青花菜,匿名
18,pho7 khi3 bong,phō khì bong,pho7 khi3 bong,phō khì bong,抱去摸,神奇寶貝,匿名
19,chun-siu2 kui-ki2,chun-siú kui-kí,tsun-siu2 kui-ki2,tsun-siú kui-kí,遵守規矩,遵守規矩,匿名
20,chhui3,chhùi,tshui3,tshuì,喙,口,匿名
21,ui7-cho-cho,uī-cho-cho,ui7-tso-tso,uī-tso-tso,胃慒慒,胃不舒服,匿名
22,sin-senn-a2,sin-seⁿ-á,sin-senn-a2,sin-senn-á,新生仔,新生兒,匿名
23,nng7-thah,nn̄g-thah,nng7-thah,nn̄g-thah,卵塔,蛋塔,匿名
24,khau3-iau,khàu-iau,khau3-iau,khàu-iau,哭枵,靠腰,匿名
25,kha-chhiu2 bo5 chheng-khi3,kha-chhiú bô chheng-khì,kha-tshiu2 bo5 tshing-khi3,kha-tshiú bô tshing-khì,跤手無清氣,手腳不乾淨,匿名
26,ak-chak,ak-chak,ak-tsak,ak-tsak,齷齪,煩,Fu-Hsuan Ju
27,Tai5-gi2/Tai5-gu2,Tâi-gí/Tâi-gú,Tai5-gi2/Tai5-gu2,Tâi-gí/Tâi-gú,台語,台語,匿名
28,Ban5-lam5-gi2/Ban5-lam5-gu2,Bân-lâm-gí/Bân-lâm-gú,Ban5-lam5-gi2/Ban5-lam5-gu2,Bân-lâm-gí/Bân-lâm-gú,閩南語,閩南語,匿名
29,lau7-thoe7,lāu-thōe,lau7-thue7,lāu-thuē,老傫,老年癡呆症,匿名
30,penn7-kiann2/pinn7-kiann2,pēⁿ-kiáⁿ/pīⁿ-kiáⁿ,penn7-kiann2/pinn7-kiann2,pēnn-kiánn/pīnn-kiánn,病囝,害喜,陳憲緯
31,cha-boo2-kiann2-chhat8,cha-bó͘-kiáⁿ-chha̍t,tsa-boo2-kiann2-tshat8,tsa-bóo-kiánn-tsha̍t,查某囝賊,女兒賊,陳憲緯
32,khau3-iau,khàu-iau,khau3-iau,khàu-iau,哭枵,靠腰,陳憲緯
33,kha-thau5-u,kha-thâu-u,kha-thau5-u,kha-thâu-u,跤頭趺,膝,Miao Chiang Yen
34,chu3-sia7,chù-siā,tsu3-sia7,tsù-siā,注射,注射,Miao Chiang Yen
35,si2-gin2-a2-poo2,sí-gín-á-pó͘,si2-gin2-a2-poo2,sí-gín-á-póo,死囡仔脯,小屁孩,Miao Chiang Yen
36,chiah8-png7,chia̍h-pn̄g,tsiah8-png7,tsia̍h-pn̄g,食飯,吃飯,Miao Chiang Yen
37,au7-piah e5,aū-piah ê,au7-piah e5,āu-piah ê,後壁的,後面的,Miao Chiang Yen
38,kong2-poo3 tian7-tai5,kóng-pò͘ tiān-tâi,kong2-poo3 tian7-tai5,kóng-pòo tiān-tâi,廣播電台,廣播電台,Miao Chiang Yen
39,chhui3-khi2-thiann3,chhùi-khí-thiàⁿ,tshui3-khi2-thiann3,tshuì-khí-thiànn,喙齒疼,牙痛,Miao Chiang Yen
40,Iam5-lo5-chhenn/Iam5-lo5-chhinn,Iâm-lô-chheⁿ/Iâm-lô-chhiⁿ,Iam5-lo5-tshenn/Iam5-lo5-tshinn,Iâm-lô-tshenn/Iâm-lô-tshinn,閻羅星,冥王星,匿名
