id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
1,a-a-hau2/kio3/khau3,a-a-háu/kiò/khàu,a-a-hau2/kio3/khau3,a-a-háu/kiò/khàu,啞啞叫,"Vph ",,,cry (like a baby),
2,a-bi2-pa,a-bí-pa,a-bi2-pa,a-bí-pa,阿米巴,N Med,,,ameba,
3,a-bu2/bo2,a-bú/bó,a-bu2/bo2,a-bú/bó,媽媽,"Na ",ê,,"mother, mama ",
4,a-cha,a-cha,a-tsa,a-tsa,髒,"SV ",,"a-a cha-cha, a-cha a-cha ","dirty, soiled(syn a-cham, a5-sam5, la5-sam5, la3-sap) ",
5,a-cham,a-cham,a-tsam,a-tsam,髒,"SV ",,a-cham a-cham,"dirty, soiled (syn a-cha, etc)",
6,a-che2,a-ché,a-tse2,a-tsé,阿姊,"Na ",ê,,sister (elder),
7,a-chek,a-chek,a-tsik,a-tsik,叔叔,"Na ",ê,,uncle (father's younger brother),
8,a-chek,a-chek,a-tsik,a-tsik,爸爸,"Na ",ê,,father (used to avoid making the spirits jealous),
9,a-chi2,a-chí,a-tsi2,a-tsí,阿姊,"Na ",ê,,sister (elder),
10,a-chim2,a-chím,a-tsim2,a-tsím,嬸母,"Na ",ê,,aunt (mother's sister),
11,A-chiu,A-chiu,A-tsiu,A-tsiu,亞洲,"Np ",,,Asia,
12,a-choo2,a-chó͘,a-tsoo2,a-tsóo,曾祖父母,"Na ",ê,,great-grand parent (father's side),
13,a-he5,a-hê,a-he5,a-hê,亞蝦,"N ",bé/chiah,,"shrimp, Trachypenaeus asper",
14,a-hiann,a-hiaⁿ,a-hiann,a-hiann,哥哥,"Na ",ê,,brother (elder),
15,a-i5,a-î,a-i5,a-î,"阿姨                       ","Na ",ê,,aunt(mother's sister),
16,a-i5,a-î,a-i5,a-î,媽媽,"Na ",ê,,mother (used to avoid making the spirits jealous),
17,a-jiat8-tai3,a-jia̍t-tài,a-jiat8-tai3,a-jia̍t-tài,亞熱帶,"Np ",,,sub-tropical zone,
18,a-ke3-kau,a-kè-kau,a-ke3-kau,a-kè-kau,ㄚ髻鮫,N Ich,bé,,"any shark of the genus Sphyrne, hammerhead shark",
19,a-kim7,a-kīm,a-kim7,a-kīm,舅母,"Na ",ê,,aunt (mother's brother's wife),
20,a-ko,a-ko,a-ko,a-ko,哥哥,"Na ",ê,,brother (elder),
21,a-koo,a-ko͘,a-koo,a-koo,姑母,"Na ",ê,,aunt (father's sister),
22,a-kong,a-kong,a-kong,a-kong,祖父,"Na ",ê,,grandfather,
23,a-ku7,a-kū,a-ku7,a-kū,舅父,"Na ",ê,,uncle (mother's brother),
24,a-ku7,a-kū,a-ku7,a-kū,舅父,"Na ",ê,,brother-in-law (wife's brother),
25,a-kheng7,a-khēng,a-khing7,a-khīng,椏柏,"N ",châng,,"tallow tree, Sapium sebiferum",
26,A-la2,A-lá,A-la2,A-lá,阿賴,"Npers ",,,"Muslim: Allah, God",
27,A-lan5,A-lân,A-lan5,A-lân,亞蘭,"Np ",,,"Aram, Syria",
28,A-lat-pek,A-lat-pek,A-lat-pik,A-lat-pik,阿拉伯,"Np ",,,Arabic,
29,A-li2-san,A-lí-san,A-li2-san,A-lí-san,阿里山,"Np ",,,"Mt. Ali, Alishan",
30,A-li2-san bo5-hio8-lan5,A-lí-san bô-hio̍-lân,A-li2-san bo5-hio8-lan5,A-lí-san bô-hio̍-lân,阿里山無葉蘭,N Bot,châng,,"Alishanleafless orchid, Cheirostylis takeoi",
31,a-li2-san-eng,a-lí-san-eng,a-li2-san-ing,a-lí-san-ing,高砂鶯,"N ",chiah,,"Formosan bullfinch, Pyrrhula erythaca owstoni",
32,a-li2-san-jiu5,a-lí-san-jiû,a-li2-san-jiu5,a-lí-san-jiû,阿里山榆,N Bot,châng,,"Ali-shan elm, Ulmus ayematsui",
33,a-li2-san-ku5,a-lí-san-kû,a-li2-san-ku5,a-lí-san-kû,阿里山鴝,N Orn,chiah,,"Johnstone's bush robin, Tarsiger johnstoniae",
34,a-li2-san-liu2,a-lí-san-liú,a-li2-san-liu2,a-lí-san-liú,阿里山柳,N Bot,châng,,"Alishanwillow, mountain willow, Salix fulvopubescens",
35,a-li2-san-thian-go5-jiong5-chiam-chhu2,a-lí-san-thian-gô-jiông-chiam-chhú,a-li2-san-thian-go5-jiong5-tsiam-tshu2,a-lí-san-thian-gô-jiông-tsiam-tshú,阿里山天鵝绒尖鼠,N Zool,chiah,,"Alishan shrew, chodsigoa sodalis",
