id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
1,a2,a2-si7,á,á-sī,a2,a2-si7,á,á-sī,或、或是、還是,1
2,a,,a,,a,,a,,阿,1
3,a-choo2,lai7-choo2,a-chó͘,lāi-chó͘,a-tsoo2,lai7-tsoo2,a-tsóo,lāi-tsóo,曾祖父（母）,1
4,a-choo2,goa7-choo2,a-chó͘,gōa-chó͘,a-tsoo2,gua7-tsoo2,a-tsóo,guā-tsóo,曾祖父（母）,1
5,a-kong,lai7-kong,a-kong,lāi-kong,a-kong,lai7-kong,a-kong,lāi-kong,爺爺、內祖父,2
6,a-kong,goa7-kong,a-kong,gōa-kong,a-kong,gua7-kong,a-kong,guā-kong,公公、外祖父,2
7,a-ma2,lai7-ma2,a-má,lāi-má,a-ma2,lai7-ma2,a-má,lāi-má,奶奶、內祖母,2
8,a-ma3,goa7-ma2,a-mà,gōa-má,a-ma3,gua7-ma2,a-mà,guā-má,婆婆、外祖母,2
9,a-koo,,a-ko͘,,a-koo,,a-koo,,姑姑、姑母,3
10,koo-tiunn7,,ko͘-tiūⁿ,,koo-tiunn7,,koo-tiūnn,,姑父,3
11,a-ku7,,a-kū,,a-ku7,,a-kū,,舅舅、舅父,3
12,a-kim7,,a-kīm,,a-kim7,,a-kīm,,舅母,3
13,a-i5,,a-î,,a-i5,,a-î,,姨母,3
14,i5-tiunn7,,î-tiūⁿ,,i5-tiunn7,,î-tiūnn,,姨父,4
15,a-peh,,a-peh,,a-peh,,a-peh,,伯伯、伯父,4
16,a-m2,,a-ḿ,,a-m2,,a-ḿ,,伯母,4
17,a-chek,,a-chek,,a-tsik,,a-tsik,,叔叔、叔父,4
18,a-chim2,,a-chím,,a-tsim2,,a-tsím,,嬸嬸、叔母,4
19,a-hiann,,a-hiaⁿ,,a-hiann,,a-hiann,,哥哥,5
20,a-so2,,a-só,,a-so2,,a-só,,嫂嫂,5
21,a-chiu,,a-chiu,,a-tsiu,,a-tsiu,,亞洲,5
22,a-phian3,,a-phiàn,,a-phian3,,a-phiàn,,鴉片,5
23,ann7,,āⁿ,,ann7,,ānn,,餡,5
24,ann3 loh8-khi3,,àⁿ lo̍h-khì,,ann3 loh8-khi3,,ànn lo̍h-khì,,彎腰、俯下去,5
25,ah,ah-a2,ah,ah-á,ah,ah-a2,ah,ah-á,鴨,6
26,ah-bu2,ah-bo2,ah-bú,ah-bó,ah-bu2,ah-bo2,ah-bú,ah-bó,母鴨,6
27,ah-kang,,ah-kang,,ah-kang,,ah-kang,,公鴨,6
28,ah-nng7,,ah-nn̄g,,ah-nng7,,ah-nn̄g,,鴨蛋,6
29,ah-ban,,ah-ban,,ah-ban,,ah-ban,,鴨肉,6
30,ai3,,aì,,ai3,,ài,,要、愛、喜歡,6
31,chin-ai3,,chin-aì,,tsin-ai3,,tsin-ài,,很喜歡,6
32,chin-bo5-ai3,,chin-bô-aì,,tsin-bo5-ai3,,tsin-bô-ài,,很不喜歡,6
33,khah-ai3,,khah-aì,,khah-ai3,,khah-ài,,比較喜歡、寧願,7
34,khah bo5-ai3,,khah bô-aì,,khah bo5-ai3,,khah bô-ài,,比較不喜歡,7
35,long2-ai3,,lóng-aì,,long2-ai3,,lóng-ài,,都喜歡,7
36,long2 bo5-ai3,,lóng bô-aì,,long2 bo5-ai3,,lóng bô-ài,,都不喜歡,7
37,bo5 sim2-mih ai3,,bô sím-mih aì,,bo5 sim2-mih ai3,,bô sím-mih ài,,不怎麼喜歡,7
38,kek8-ai3,,ke̍k-aì,,kek8-ai3,,ke̍k-ài,,最喜歡,7
39,put-chi2-ai3,,put-chí-aì,,put-tsi2-ai3,,put-tsí-ài,,很喜歡,8
40,hui-siong5 ai3,,hui-siông aì,,hui-siong5 ai3,,hui-siông ài,,非常喜歡,8
41,siong7-ai3,,siōng-aì,,siong7-ai3,,siōng-ài,,最喜歡,8
42,te7 it ai3,,tē it aì,,te7 it ai3,,tē it ài,,最喜歡,8
43,ai3,,aì,,ai3,,ài,,有‧‧‧之癖的,8
44,ai3-boo7,,aì-bō͘,,ai3-boo7,,ài-bōo,,愛慕,8
45,ai3-khun3,,aì-khùn,,ai3-khun3,,ài-khùn,,愛睡的,9
46,ai3-jin5,,aì-jîn,,ai3-jin5,,ài-jîn,,愛人、意中人,9
47,ai3-cheng5,,aì-chêng,,ai3-tsing5,,ài-tsîng,,愛情,9
48,ai3-kok-sim,,aì-kok-sim,,ai3-kok-sim,,ài-kok-sim,,愛國心,9
49,ai-kiu5,,ai-kiû,,ai-kiu5,,ai-kiû,,哀求、懇求,9
50,ai-keng,,ai-keng,,ai-king,,ai-king,,哀矜,10
51,ai-kip8,,ai-ki̍p,,ai-kip8,,ai-ki̍p,,埃及,10
52,ai3-mai7,,aì-māi,,ai3-mai7,,ài-māi,,曖昧,10
53,ainn7,,aīⁿ,,ainn7,,āinn,,背,10
54,ak-hoe,,ak-hoe,,ak-hue,,ak-hue,,澆水（花）,10
55,ak-hoo7,,ak-hō͘,,ak-hoo7,,ak-hōo,,淋雨,11
56,ak-tioh8-hoo7,,ak-tio̍h-hō͘,,ak-tioh8-hoo7,,ak-tio̍h-hōo,,淋著雨,11
57,ak-chui2,,ak-chúi,,ak-tsui2,,ak-tsuí,,澆水,11
58,ak-chhiu2,,ak-chhiú,,ak-tshiu2,,ak-tshiú,,握手,11
59,am3-si5,,àm-sî,,am3-si5,,àm-sî,,晚上,12
60,am3,,àm,,am3,,àm,,暗,12
61,eng-am3,,eng-àm,,ing-am3,,ing-àm,,今天晚上,12
62,chang-am3,,chang-àm,,tsang-am3,,tsang-àm,,昨天晚上,12
63,boeh-am3-a2,boeh-am3-a2-si5,boeh-àm-á,boeh-àm-á-sî,bueh-am3-a2,bueh-am3-a2-si5,bueh-àm-á,bueh-àm-á-sî,黃昏,12
64,am3-kho3,,àm-khò,,am3-kho3,,àm-khò,,晚課,12
65,liam7 am3-kho3,,liām àm-khò,,liam7 am3-kho3,,liām àm-khò,,念晚課,12
66,am2,kho2,ám,khó,am2,kho2,ám,khó,泔,12
67,am2-moe5,,ám-môe,,am2-mue5,,ám-muê,,稀飯,12
