id,poj_input,poj_unicode,tailo_input,tailo_unicode,taigi_hanji,page_number
1,Gia5-kang-chhau2,Giâ-kang-chháu,Gia5-kang-tshau2,Giâ-kang-tsháu,蜈蚣草,2
2,To2-te2-gia5-kang,Tó-té-giâ-kang,To2-te2-gia5-kang,Tó-té-giâ-kang,倒地蜈蚣,2
3,To2-ki5-lin5,Tó-kî-lîn,To2-ki5-lin5,Tó-kî-lîn,倒麒麟,2
4,Toe7-gia5-kang,Tōe-giâ-kang,Tue7-gia5-kang,Tuē-giâ-kang,地蜈蚣,2
5,Ke3-lo-gia5-kang,Kè-lo-giâ-kang,Ke3-lo-gia5-kang,Kè-lo-giâ-kang,過路蜈蚣,2
6,Pit-tang5-chhiu7,Pit-tâng-chhiū,Pit-tang5-tshiu7,Pit-tâng-tshiū,筆筒樹,5
7,Koan3-chiong3,Koàn-chiòng,Kuan3-tsiong3,Kuàn-tsiòng,貫眾,5
8,Kut-chhui3-poo3,Kut-chhùi-pò͘,Kut-tshui3-poo3,Kut-tshuì-pòo,骨碎補,5
9,Kau2-chit,Káu-chit,Kau2-tsit,Káu-tsit,狗脊,5
10,Leng5-lan5-chhau2,Lêng-lân-chháu,Ling5-lan5-tshau2,Lîng-lân-tsháu,龍麟草,6
11,Hong7-be2-chhau2,Hōng-bé-chháu,Hong7-be2-tshau2,Hōng-bé-tsháu,鳳尾草,8
12,Soann-neh-kiau,Soaⁿ-neh-kiau,Suann-neh-kiau,Suann-neh-kiau,山蕨猫,12
13,Hong-put-tong7,Hong-put-tōng,Hong-put-tong7,Hong-put-tōng,風不動,13
14,Chhiu7-leng5,Chhiū-lêng,Tshiu7-ling5,Tshiū-lîng,樹龍,13
15,Chioh8-kiam3,Chio̍h-kiàm,Tsioh8-kiam3,Tsio̍h-kiàm,石劍,13
16,Be2-be2-si,Bé-bé-si,Be2-be2-si,Bé-bé-si,馬尾絲,14
17,Hong7-be2-chhau2,Hōng-bé-chháu,Hong7-be2-tshau2,Hōng-bé-tsháu,鳳尾草,14
18,Keh-niau,Keh-niau,Keh-niau,Keh-niau,蕨猫,16
19,Ke2-kau-chhai2,Ké-kau-chhái,Ke2-kau-tshai2,Ké-kau-tshái,過溝菜,16
20,Soann-ti-a2-lan7-hut8,Soaⁿ-ti-á-lān-hu̍t,Suann-ti-a2-lan7-hut8,Suann-ti-á-lān-hu̍t,山猪仔？核,30
21,Thoo2-chhoan-ni5,Thó͘-chhoan-nî,Thoo2-tshuan-ni5,Thóo-tshuan-nî,土川連,30
22,Hong7-be2-pit,Hōng-bé-pit,Hong7-be2-pit,Hōng-bé-pit,鳳尾筆,30
23,Be2-be2-si,Bé-bé-si,Be2-be2-si,Bé-bé-si,馬尾絲,30
24,Ah-kha-pe5,Ah-kha-pê,Ah-kha-pe5,Ah-kha-pê,鴨腳筢,33
25,Ah-toe5-chhau2,Ah-tôe-chháu,Ah-tue5-tshau2,Ah-tuê-tsháu,鴨蹄草,33
26,Kim-chioh8-ui2,Kim-chio̍h-uí,Kim-tsioh8-ui2,Kim-tsio̍h-uí,金石韋,35
27,Keh-niau-chhau2,Keh-niau-chháu,Keh-niau-tshau2,Keh-niau-tsháu,蕨猫草,39
28,Hong7-be2-chhau2,Hōng-bé-chháu,Hong7-be2-tshau2,Hōng-bé-tsháu,鳳尾草,39
29,Chinn2-pinn-chhau2,Chíⁿ-piⁿ-chháu,Tsinn2-pinn-tshau2,Tsínn-pinn-tsháu,井邊草,40
