id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,abbreviations,noun_classifiers,reduplication,hoabun,english_descriptions,page_number
1,a-a-háu/kiò/khàu,a-a-hau2/kio3/khau3,a-a-háu/kiò/khàu,a-a-hau2/kio3/khau3,"Vph ",,,啞啞叫,cry (like a baby),
2,a-bí-pa,a-bi2-pa,a-bí-pa,a-bi2-pa,N Med,,,阿米巴,ameba,
3,a-bú/bó,a-bu2/bo2,a-bú/bó,a-bu2/bo2,"Na ",ê,,媽媽,"mother, mama ",
4,a-cha,a-cha,a-tsa,a-tsa,"SV ",,"a-a cha-cha, a-cha a-cha ",髒,"dirty, soiled(syn a-cham, a5-sam5, la5-sam5, la3-sap) ",
5,a-cham,a-cham,a-tsam,a-tsam,"SV ",,a-cham a-cham,髒,"dirty, soiled (syn a-cha, etc)",
6,a-ché,a-che2,a-tsé,a-tse2,"Na ",ê,,阿姊,sister (elder),
7,a-chek,a-chek,a-tsik,a-tsik,"Na ",ê,,叔叔,uncle (father's younger brother),
8,a-chek,a-chek,a-tsik,a-tsik,"Na ",ê,,爸爸,father (used to avoid making the spirits jealous),
9,a-chí,a-chi2,a-tsí,a-tsi2,"Na ",ê,,阿姊,sister (elder),
10,a-chím,a-chim2,a-tsím,a-tsim2,"Na ",ê,,嬸母,aunt (mother's sister),
11,A-chiu,A-chiu,A-tsiu,A-tsiu,"Np ",,,亞洲,Asia,
12,a-chó͘,a-choo2,a-tsóo,a-tsoo2,"Na ",ê,,曾祖父母,great-grand parent (father's side),
13,a-hê,a-he5,a-hê,a-he5,"N ",bé/chiah,,亞蝦,"shrimp, Trachypenaeus asper",
14,a-hiaⁿ,a-hiann,a-hiann,a-hiann,"Na ",ê,,哥哥,brother (elder),
15,a-î,a-i5,a-î,a-i5,"Na ",ê,,"阿姨                       ",aunt(mother's sister),
16,a-î,a-i5,a-î,a-i5,"Na ",ê,,媽媽,mother (used to avoid making the spirits jealous),
17,a-jia̍t-tài,a-jiat8-tai3,a-jia̍t-tài,a-jiat8-tai3,"Np ",,,亞熱帶,sub-tropical zone,
18,a-kè-kau,a-ke3-kau,a-kè-kau,a-ke3-kau,N Ich,bé,,ㄚ髻鮫,"any shark of the genus Sphyrne, hammerhead shark",
19,a-kīm,a-kim7,a-kīm,a-kim7,"Na ",ê,,舅母,aunt (mother's brother's wife),
20,a-ko,a-ko,a-ko,a-ko,"Na ",ê,,哥哥,brother (elder),
21,a-ko͘,a-koo,a-koo,a-koo,"Na ",ê,,姑母,aunt (father's sister),
22,a-kong,a-kong,a-kong,a-kong,"Na ",ê,,祖父,grandfather,
23,a-kū,a-ku7,a-kū,a-ku7,"Na ",ê,,舅父,uncle (mother's brother),
24,a-kū,a-ku7,a-kū,a-ku7,"Na ",ê,,舅父,brother-in-law (wife's brother),
25,a-khēng,a-kheng7,a-khīng,a-khing7,"N ",châng,,椏柏,"tallow tree, Sapium sebiferum",
26,A-lá,A-la2,A-lá,A-la2,"Npers ",,,阿賴,"Muslim: Allah, God",
27,A-lân,A-lan5,A-lân,A-lan5,"Np ",,,亞蘭,"Aram, Syria",
28,A-lat-pek,A-lat-pek,A-lat-pik,A-lat-pik,"Np ",,,阿拉伯,Arabic,
29,A-lí-san,A-li2-san,A-lí-san,A-li2-san,"Np ",,,阿里山,"Mt. Ali, Alishan",
