poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,main_id
chi̍t,chit8,tsi̍t,tsit8,1
it,it,it,it,2
it-to-lióng-toān,it-to-liong2-toan7,it-to-lióng-tuān,it-to-liong2-tuan7,3
chi̍t-ē,chit8-e7,tsi̍t-ē,tsit8-e7,4
chi̍t goe̍h-ji̍t,chit8 goeh8-jit8,tsi̍t gue̍h-ji̍t,tsit8 gueh8-jit8,6
chi̍t ge̍h-li̍t,chit8 geh8-lit8,tsi̍t ge̍h-li̍t,tsit8 geh8-lit8,6
chi̍t-ji̍t-kàu-àm,chit8-jit8-kau3-am3,tsi̍t-ji̍t-kàu-àm,tsit8-jit8-kau3-am3,7
chi̍t-li̍t-kàu-àm,chit8-lit8-kau3-am3,tsi̍t-li̍t-kàu-àm,tsit8-lit8-kau3-am3,7
chi̍t-sì-lâng,chit8-si3-lang5,tsi̍t-sì-lâng,tsit8-si3-lang5,9
chi̍t-pòaⁿ,chit8-poann3,tsi̍t-puànn,tsit8-puann3,10
chi̍t-pòaⁿ-ê-á,chit8-poann3-e5-a2,tsi̍t-puànn-ê-á,tsit8-puann3-e5-a2,11
chi̍t-pòaⁿ-ji̍t-á,chit8-poann3-jit8-a2,tsi̍t-puànn-ji̍t-á,tsit8-puann3-jit8-a2,12
chi̍t-pòaⁿ-li̍t-á,chit8-poann3-lit8-a2,tsi̍t-puànn-li̍t-á,tsit8-puann3-lit8-a2,12
chi̍t-sì-kè,chit8-si3-ke3,tsi̍t-sì-kè,tsit8-si3-ke3,13
chi̍t-sì-kòe,chit8-si3-koe3,tsi̍t-sì-kuè,tsit8-si3-kue3,13
it-tàn,it-tan3,it-tàn,it-tan3,14
it-seng,it-seng,it-sing,it-sing,15
chi̍t-ba̍k-nih-á,chit8-bak8-nih-a2,tsi̍t-ba̍k-nih-á,tsit8-bak8-nih-a2,16
chi̍t kah-chí,chit8 kah-chi2,tsi̍t kah-tsí,tsit8 kah-tsi2,17
chi̍t-pah khòng-it,chit8-pah khong3-it,tsi̍t-pah khòng-it,tsit8-pah khong3-it,18
it--lâi,it--lai5,it--lâi,it--lai5,19
it-tēng,it-teng7,it-tīng,it-ting7,20
it-ti̍t,it-tit8,it-ti̍t,it-tit8,21
it-lu̍t,it-lut8,it-lu̍t,it-lut8,22
it-tì,it-ti3,it-tì,it-ti3,23
chi̍t-bīn,chit8-bin7,tsi̍t-bīn,tsit8-bin7,24
chi̍t-pû-sái,chit8-pu5-sai2,tsi̍t-pû-sái,tsit8-pu5-sai2,25
chi̍t-sut-á,chit8-sut-a2,tsi̍t-sut-á,tsit8-sut-a2,26
chi̍t-ke-hóe-á,chit8-ke-hoe2-a2,tsi̍t-ke-hué-á,tsit8-ke-hue2-a2,27
chi̍t-ke-hé-á,chit8-ke-he2-a2,tsi̍t-ke-hé-á,tsit8-ke-he2-a2,27
it-poaⁿ,it-poann,it-puann,it-puann,28
it-lia̍p-it,it-liap8-it,it-lia̍p-it,it-liap8-it,31
chi̍t-khùn-á,chit8-khun3-a2,tsi̍t-khùn-á,tsit8-khun3-a2,33
it-khài,it-khai3,it-khài,it-khai3,34
it-kài,it-kai3,it-kài,it-kai3,34
chi̍t-lō͘,chit8-loo7,tsi̍t-lōo,tsit8-loo7,35
--chi̍t-kóa,--chit8-koa2,--tsi̍t-kuá,--tsit8-kua2,36
chi̍t-kóa-á,chit8-koa2-a2,tsi̍t-kuá-á,tsit8-kua2-a2,37
chi̍t-tùi-sî,chit8-tui3-si5,tsi̍t-tuì-sî,tsit8-tui3-si5,38
chi̍t-tiap-á-kú,chit8-tiap-a2-ku2,tsi̍t-tiap-á-kú,tsit8-tiap-a2-ku2,39
chi̍t-tiám-á,chit8-tiam2-a2,tsi̍t-tiám-á,tsit8-tiam2-a2,41
chi̍t-ha̍k-sái,chit8-hak8-sai2,tsi̍t-ha̍k-sái,tsit8-hak8-sai2,42
chi̍t-tak-kú-á,chit8-tak-ku2-a2,tsi̍t-tak-kú-á,tsit8-tak-ku2-a2,43
chi̍t-táu-kú-á,chit8-tau2-ku2-a2,tsi̍t-táu-kú-á,tsit8-tau2-ku2-a2,43
it,it,it,it,45
teng,teng,ting,ting,46
chhit,chhit,tshit,tshit,47
káu,kau2,káu,kau2,48
kiú,kiu2,kiú,kiu2,49
liáu,liau2,liáu,liau2,50
jī,ji7,jī,ji7,51
lī,li7,lī,li7,51
jîn,jin5,jîn,jin5,52
lîn,lin5,lîn,lin5,52
lâng,lang5,lâng,lang5,53
ji̍p,jip8,ji̍p,jip8,54
li̍p,lip8,li̍p,lip8,54
pat,pat,pat,pat,55
peh,peh,peh,peh,56
poeh,poeh,pueh,pueh,56
to,to,to,to,57
tiau,tiau,tiau,tiau,58
la̍t,lat8,la̍t,lat8,59
le̍k,lek8,li̍k,lik8,60
cha̍p,chap8,tsa̍p,tsap8,61
si̍p,sip8,si̍p,sip8,62
poh,poh,poh,poh,63
pok,pok,pok,pok,64
iū,iu7,iū,iu7,65
