"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HoaBun","EngBun","KaisoehEngbun","NounClassifier","LesuPoj","Opposite","LekuPoj","LekuEngbun","LekuHoabun","Confer","PageNumber"
"1","á","á-sī","a2","a2-si7","á","á-sī","a2","a2-si7","或、或是、還是","or","","","","","Lí chai á m̄ chai?/Lí ài chia̍h Bí-kok hun á-sī Tâi-oân hun?","Do you know or not?\Do you like to smoke American or Taiwanese cigarettes?","你知道還是不知道？/你喜歡抽美國煙還是台灣煙？","","1"
"2","a","","a","","a","","a","","阿","a honorific prefix to names","","","","","","","","","1"
"3","a-chó͘","lāi-chó͘","a-choo2","lai7-choo2","a-tsóo","lāi-tsóo","a-tsoo2","lai7-tsoo2","曾祖父（母）","father's grandparents","","","","","Lāu-pē ê a-kong, a-má hō-chò a-chó͘ (lāi-chó͘).","A father’s grandfather or grandmother is called “[a-chó͘]” [(lāi-chó͘)].","父親的祖父，祖母叫做曾祖父（母）","","1"
"4","a-chó͘","gōa-chó͘","a-choo2","goa7-choo2","a-tsóo","guā-tsóo","a-tsoo2","gua7-tsoo2","曾祖父（母）","mother's grandparents","","","","","Lāu-bú ê a-kong, a-má ā-sī kiò-chò a-chó͘ (gōa-chó͘).","A mother’s grandfather or grandmother is also called “[a-chó͘]” ([gōa-chó͘]).","母親的祖父，祖母也是叫做曾祖父（母）","","1"
"5","a-kong","lāi-kong","a-kong","lai7-kong","a-kong","lāi-kong","a-kong","lai7-kong","爺爺、內祖父","","","","","","Lāu-pē ê lāu-pē kiò-chò a-kong.","A father’s father is called [“a-kong”].","父親的父親叫做祖父（內祖父）","","2"
"6","a-kong","gōa-kong","a-kong","goa7-kong","a-kong","guā-kong","a-kong","gua7-kong","公公、外祖父","","","","","","Lāu-bú ê lāu-pē kiò-chò gōa-kong.","A mother’s father is called “[gōa-kong]”. (The natives very often omit the “[gōa]” here and simply say “[a-kong]”).","母親的父親叫做外祖父。","","2"
"7","a-má","lāi-má","a-ma2","lai7-ma2","a-má","lāi-má","a-ma2","lai7-ma2","奶奶、內祖母","","","","","","Lāu-pē ê lāu-bú kiò-chò a-má (lāi-má).","A father’s mother is called “[a-má]”.","父親的母親叫做祖母（內祖母）","","2"
"8","a-mà","gōa-má","a-ma3","goa7-ma2","a-mà","guā-má","a-ma3","gua7-ma2","婆婆、外祖母","","","","","","Lāu-bú ê lāu-bú kiò-chò gōa-má.","A mother’s mother is called “[gōa-má]”. (The natives often omit the “[gōa]” and simply say “[a-má]”).","母親的母親叫做外祖母","","2"
"9","a-ko͘","","a-koo","","a-koo","","a-koo","","姑姑、姑母","","","","","","Lāu-pē ê chí-mōe kiò-chò a-ko͘.","A father’s sisters are called [a-ko͘].","父親的姐妹叫做姑母","","3"
"10","ko͘-tiūⁿ","","koo-tiunn7","","koo-tiūnn","","koo-tiunn7","","姑父","","","","","","","","","","3"
"11","a-kū","","a-ku7","","a-kū","","a-ku7","","舅舅、舅父","","","","","","Lāu-bú ê hiaⁿ-tī kiò-chò a-kū.","A mother’s brothers are called “[a-kū]”.","母親的兄弟叫做舅父","","3"
"12","a-kīm","","a-kim7","","a-kīm","","a-kim7","","舅母","","","","","","A-kū ê thài-thài chiū-sī a-kīm.","A-kū’s wife is a-kīm.","舅父的太太就是舅母","","3"
"13","a-î","","a-i5","","a-î","","a-i5","","姨母","","","","","","Lāu-bú ê chí-mōe kiò-chò a-î.","A mother’s sisters are called “[a-î]”.","母親的姐妹叫做姨母","","3"
"14","î-tiūⁿ","","i5-tiunn7","","î-tiūnn","","i5-tiunn7","","姨父","","","","","","","","","","4"
"15","a-peh","","a-peh","","a-peh","","a-peh","","伯伯、伯父","","","","","","Lāu-pē ê a-hiaⁿ kiò-chò a-peh.","A father’s older brother is called “[a-peh]”.","父親的哥哥叫做伯父","","4"
"16","a-ḿ","","a-m2","","a-ḿ","","a-m2","","伯母","","","","","","A-peh ê thài-thài hō-chò a-ḿ.","A-peh’s wife is called “[a-ḿ]”.","伯父的太太叫做伯母","","4"
"17","a-chek","","a-chek","","a-tsik","","a-tsik","","叔叔、叔父","","","","","","Lāu-pē ê sió-tī kiò-chò a-chek.","A father’s little brother is called “[a-chek]”.","父親的弟弟叫做叔父","","4"
"18","a-chím","","a-chim2","","a-tsím","","a-tsim2","","嬸嬸、叔母","","","","","","A-chek ê thài-thài chiū-sī a-chím.","[A-chím] is a-chek’s wife.","叔父的太太叫做叔母","","4"
"19","a-hiaⁿ","","a-hiann","","a-hiann","","a-hiann","","哥哥","","","","","","","","","","5"
"20","a-só","","a-so2","","a-só","","a-so2","","嫂嫂","","","","","","A-hiaⁿ ê khan-chhiú kiò-chò a-só; sió-tī ê khan-chhiú kiò-chò tē-hū.","A big brother’s wife is called “[a-só]”; a younger brother’s wife is called “[tē-hū]”.","哥哥的妻子叫做嫂嫂，弟弟的妻子叫做弟婦","","5"
"21","a-chiu","","a-chiu","","a-tsiu","","a-tsiu","","亞洲","Asia.","","","","","","","","","5"
"22","a-phiàn","","a-phian3","","a-phiàn","","a-phian3","","鴉片","Opium","","","","","","","","","5"
"23","āⁿ","","ann7","","ānn","","ann7","","餡","bean-jam","","","","","","","","","5"
"24","àⁿ lo̍h-khì","","ann3 loh8-khi3","","ànn lo̍h-khì","","ann3 loh8-khi3","","彎腰、俯下去","to stoop down","","","","","Thô͘-kha ū ka-la̍uh chîⁿ, àⁿ-lo̍h-khì khioh--khí-lâi.","Some money has dropped on the floor. Stoop down and pick up.","地上有遺落的錢，俯下去拾起來","","5"
"25","ah","ah-á","ah","ah-a2","ah","ah-á","ah","ah-a2","鴨","a duck","","chi̍t chiah","ah-bú/ah-kang/ah-nn̄g/ah-bah","","","","","","6"
"26","ah-bú","ah-bó","ah-bu2","ah-bo2","ah-bú","ah-bó","ah-bu2","ah-bo2","母鴨","a duck","","","","","","","","ah","6"
"27","ah-kang","","ah-kang","","ah-kang","","ah-kang","","公鴨","a drake","","","","","","","","ah","6"
"28","ah-nn̄g","","ah-nng7","","ah-nn̄g","","ah-nng7","","鴨蛋","duck eggs","","lia̍p","","","","","","ah","6"
"29","ah-bah","","ah-bah","","ah-bah","","ah-bah","","鴨肉","duck meat","","","","","","","","ah","6"
"30","ài","","ai3","","ài","","ai3","","要、愛、喜歡","to wish, desire, want, need, should, will, love, like, sign of future","","","chin-ài/chin-bô-ài/khah-ài/khah bô-ài/lóng-ài/lóng bô-ài/bô sím-mih ài/ke̍k-ài/put-chí-ài/hui-siông ài/siōng-ài/tē it ài","","","","","","6"
"31","chin-ài","","chin-ai3","","tsin-ài","","tsin-ai3","","很喜歡","to like very much, to want very much","","","","","Góa chin ài o̍h Thian-chú-kàu ê tō-lí.","I like very much to learn the Catholic doctrine.","我很喜歡學天主教的道理","ài","6"
"32","chin-bô-ài","","chin-bo5-ai3","","tsin-bô-ài","","tsin-bo5-ai3","","很不喜歡","very much not like (want) to; very much dislike","","","","","Góa chin bô ài kā lâng kà Eng-gí.","I very much dislike teaching people English.","我很不喜歡教別人英語","ài","6"
"33","khah-ài","","khah-ai3","","khah-ài","","khah-ai3","","比較喜歡、寧願","to prefer to","","","","","","","","ài","7"
"34","khah bô-ài","","khah bo5-ai3","","khah bô-ài","","khah bo5-ai3","","比較不喜歡","to prefer not to","","","","","Góa khah ài chē bah-suh, khah bô ài chē hóe-chhia.","I prefer to ride in buses, I prefer not to ride in trains.","我比較喜歡坐巴士，比較不喜歡坐火車","ài","7"
"35","lóng-ài","","long2-ai3","","lóng-ài","","long2-ai3","","都喜歡","to like entirely (all of)","","","","","Tâi-oân ê liāu-lí, góa lóng-ài chia̍h.","I like all kinds of Taiwanese dishes.","台灣的菜餚，我都喜歡吃","ài","7"
"36","lóng bô-ài","","long2 bo5-ai3","","lóng bô-ài","","long2 bo5-ai3","","都不喜歡","not to like at all","","","","","Góa lóng bô ài lim chiú.","I don’t like to drink wine at all.","我(都)不喜歡喝酒","ài","7"
"37","bô sím-mih ài","","bo5 sim2-mih ai3","","bô sím-mih ài ","","bo5 sim2-mih ai3","","不怎麼喜歡","not to be particularly fond of","","","","","Góa bô sím-mih ài lim khì-chúi.","I am not particularly fond of soda pop.","我不怎麽喜歡喝汽水","ài","7"
"38","ke̍k-ài","","kek8-ai3","","ke̍k-ài","","kik8-ai3","","最喜歡","to be extremely fond of","","","","","","","","ài","7"
"39","put-chí-ài","","put-chi2-ai3","","put-tsí-ài","","put-tsi2-ai3","","很喜歡","to be exceedingly fond of","","","","","","","","ài","8"
"40","hui-siông ài","","hui-siong5 ai3","","hui-siông ài","","hui-siong5 ai3","","非常喜歡","to be unusually fond of","","","","","Hit ūi sîn-hū ke̍k-ài kóng chhiò.","That priest is extremely fond of joking.","那位神父最喜歡講笑話","ài","8"
"41","siōng-ài","","siong7-ai3","","siōng-ài","","siong7-ai3","","最喜歡","To like the most","","","","","Lín saⁿ ūi sîn-hū, sím-mih lâng siōng-ài siû-chúi?","Of you three Fathers, who likes to swim the most?","你們三位神父，那一位最喜歡游泳？","ài","8"
"42","tē it ài","","te7 it ai3","","tē it ài","","te7 it ai3","","最喜歡","To be the most fond of","","","","","Lín saⁿ ūi sîn-hū, sím-mih lâng siōng-ài siû-chúi?","Of you three Fathers, who likes to swim the most?","你們三位神父，那一位最喜歡游泳？","ài","8"
"43","ài","","ai3","","ài","","ai3","","有‧‧‧之癖的","to be apt to, to be prone of","","","","","Hit ê lâng ài kap lâng oan-ke.","That fellow is prone to quarrel (to fight and fuss) with others.","那個人很喜歡跟人打架","","8"
"44","ài-bō͘","","ai3-boo7","","ài-bōo","","ai3-boo7","","愛慕","to love ardently","","","","","","","","","8"
