"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HanLoTaibunPoj","PageNumber"
"1","Giâ-kang-chháu","Gia5-kang-chhau2","Giâ-kang-tsháu","Gia5-kang-tshau2","蜈蚣草","2"
"2","Tó-té-giâ-kang","To2-te2-gia5-kang","Tó-té-giâ-kang","To2-te2-gia5-kang","倒地蜈蚣","2"
"3","Tó-kî-lîn","To2-ki5-lin5","Tó-kî-lîn","To2-ki5-lin5","倒麒麟","2"
"4","Tōe-giâ-kang","Toe7-gia5-kang","Tuē-giâ-kang","Tue7-gia5-kang","地蜈蚣","2"
"5","Kè-lo-giâ-kang","Ke3-lo-gia5-kang","Kè-lo-giâ-kang","Ke3-lo-gia5-kang","過路蜈蚣","2"
"6","Pit-tâng-chhiū","Pit-tang5-chhiu7","Pit-tâng-tshiū","Pit-tang5-tshiu7","筆筒樹","5"
"7","Koàn-chiòng","Koan3-chiong3","Kuàn-tsiòng","Kuan3-tsiong3","貫眾","5"
"8","Kut-chhùi-pò͘","Kut-chhui3-poo3","Kut-tshuì-pòo","Kut-tshui3-poo3","骨碎補","5"
"9","Káu-chit","Kau2-chit","Káu-tsit","Kau2-tsit","狗脊","5"
"10","Lêng-lân-chháu","Leng5-lan5-chhau2","Lîng-lân-tsháu","Ling5-lan5-tshau2","龍麟草","6"
"11","Hōng-bé-chháu","Hong7-be2-chhau2","Hōng-bé-tsháu","Hong7-be2-tshau2","鳳尾草","8"
"12","Soaⁿ-neh-kiau","Soann-neh-kiau","Suann-neh-kiau","Suann-neh-kiau","山蕨猫","12"
"13","Hong-put-tōng","Hong-put-tong7","Hong-put-tōng","Hong-put-tong7","風不動","13"
"14","Chhiū-lêng","Chhiu7-leng5","Tshiū-lîng","Tshiu7-ling5","樹龍","13"
"15","Chio̍h-kiàm","Chioh8-kiam3","Tsio̍h-kiàm","Tsioh8-kiam3","石劍","13"
"16","Bé-bé-si","Be2-be2-si","Bé-bé-si","Be2-be2-si","馬尾絲","14"
"17","Hōng-bé-chháu","Hong7-be2-chhau2","Hōng-bé-tsháu","Hong7-be2-tshau2","鳳尾草","14"
"18","Keh-niau","Keh-niau","Keh-niau","Keh-niau","蕨猫","16"
"19","Ké-kau-chhái","Ke2-kau-chhai2","Ké-kau-tshái","Ke2-kau-tshai2","過溝菜","16"
"20","Soaⁿ-ti-á-lān-hu̍t","Soann-ti-a2-lan7-hut8","Suann-ti-á-lān-hu̍t","Suann-ti-a2-lan7-hut8","山猪仔？核","30"
"21","Thó͘-chhoan-nî","Thoo2-chhoan-ni5","Thóo-tshuan-nî","Thoo2-tshuan-ni5","土川連","30"
"22","Hōng-bé-pit","Hong7-be2-pit","Hōng-bé-pit","Hong7-be2-pit","鳳尾筆","30"
"23","Bé-bé-si","Be2-be2-si","Bé-bé-si","Be2-be2-si","馬尾絲","30"
"24","Ah-kha-pê","Ah-kha-pe5","Ah-kha-pê","Ah-kha-pe5","鴨腳筢","33"
"25","Ah-tôe-chháu","Ah-toe5-chhau2","Ah-tuê-tsháu","Ah-tue5-tshau2","鴨蹄草","33"
"26","Kim-chio̍h-úi","Kim-chioh8-ui2","Kim-tsio̍h-uí","Kim-tsioh8-ui2","金石韋","35"
"27","Keh-niau-chháu","Keh-niau-chhau2","Keh-niau-tsháu","Keh-niau-tshau2","蕨猫草","39"
"28","Hōng-bé-chháu","Hong7-be2-chhau2","Hōng-bé-tsháu","Hong7-be2-tshau2","鳳尾草","39"
"29","Chíⁿ-piⁿ-chháu","Chinn2-pinn-chhau2","Tsínn-pinn-tsháu","Tsinn2-pinn-tshau2","井邊草","40"
"30","Chúi-khûn-chhái","Chui2-khun5-chhai2","Tsuí-khûn-tshái","Tsui2-khun5-tshai2","水芹菜","42"
"31","Mng-á","Mng-a2","Mng-á","Mng-a2","？仔","42"
"32","Tiaⁿ-chhe-tîn","Tiann-chhe-tin5","Tiann-tshe-tîn","Tiann-tshe-tin5","鼎炊藤","43"
"33","Tin-tiong-pit","Tin-tiong-pit","Tin-tiong-pit","Tin-tiong-pit","珍中筆","43"
"34","Hōng-bé-chháu","Hong7-be2-chhau2","Hōng-bé-tsháu","Hong7-be2-tshau2","鳳尾草","43"
"35","Tiaⁿ-chhòe-tîn","Tiann-chhoe3-tin5","Tiann-tshuè-tîn","Tiann-tshue3-tin5","鼎刷藤","43"
"36","Sì-hio̍h-chhài","Si3-hioh8-chhai3","Sì-hio̍h-tshài","Si3-hioh8-tshai3","四葉菜","44"
"37","Chúi-iâm-sng","Chui2-iam5-sng","Tsuí-iâm-sng","Tsui2-iam5-sng","水鹽酸","44"
"38","Khu-phiô","Khu-phio5","Khu-phiô","Khu-phio5","丘萍","44"
"39","Bo̍k-che̍k-chháu","Bok8-chek8-chhau2","Bo̍k-tsi̍k-tsháu","Bok8-tsik8-tshau2","木賊草","44"
"40","Chiap-kut-tang","Chiap-kut-tang","Tsiap-kut-tang","Tsiap-kut-tang","接骨筒","44"
