"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HanLoTaibunPoj","HanLoTaibunKip","HoaBun","DataProvidedBy"
"1","siān-neh","sian7-neh","siān-neh","sian7-neh","𤺪呢","𤺪呢","討厭","Liz Lin"
"2","sú-sū","su2-su7","sú-sū","su2-su7","死侍","死侍","死侍","Liz Lin"
"3","tiám-lu-êng-bō͘","tiam2-lu-eng5-boo7","tiám-lu-îng-bōo","tiam2-lu-ing5-boo7","點攄螢幕","點攄螢幕","觸控螢幕","Liz Lin"
"4","tōa-lâng chhōa gín-á khì chhit-thô","toa7-lang5 chhoa7 gin2-a2 khi3 chhit-tho5","tuā-lâng tshuā gín-á khì tshit-thô","tua7-lang5 tshua7 gin2-a2 khi3 tshit-tho5","大人𤆬囡仔去𨑨迌","大人𤆬囡仔去𨑨迌","大人帶小孩去玩耍","葉怡萱"
"5","siá khó͘","sia2 khoo2","siá khóo","sia2 khoo2","寫許","寫許","寫程式","WuPomin"
"6","hia̍p-koh","hiap8-koh","hia̍p-koh","hiap8-koh","拹閣","拹閣","黑客","WuPomin"
"7","kip-sò","kip-so3","kip-sò","kip-so3","急躁","急躁","焦慮","Liz Lin"
"8","pó-chhiⁿ-mo̍͘h","po2-chhinn-mooh8","pó-tshinn-mo̍oh","po2-tshinn-mooh8","保鮮膜","保鮮膜","保鮮膜","Liz Lin"
"9","chúi-chheⁿ tò-thâu kiâⁿ","chui2-chhenn to3-thau5 kiann5","tsuí-tshenn tò-thâu kiânn","tsui2-tshenn to3-thau5 kiann5","水星倒頭行","水星倒頭行","水逆","Liz Lin"
"10","chhu-kiā","chhu-kia7","tshu-kiā","tshu-kia7","趨崎","趨崎","滑坡","Liz Lin"
"11","tē-tāng-bóe","te7-tang7-boe2","tē-tāng-bué","te7-tang7-bue2","地動尾","地動尾","餘震","Liz Lin"
"12","góa bē-hiáu","goa2 be7-hiau2","guá bē-hiáu","gua2 be7-hiau2","我袂曉","我袂曉","我不會","Morrison Iûnn"
"13","phùi-that-á","phui3-that-a2","phuì-that-á","phui3-that-a2","屁窒仔","屁窒仔","小屁孩","匿名"
"14","hiông-sam hui-tôaⁿ","hiong5-sam hui-toann5","hiông-sam hui-tuânn","hiong5-sam hui-tuann5","雄三飛彈","雄三飛彈","雄三飛彈","匿名"
"15","o͘-pe̍h chhì","oo-peh8 chhi3","oo-pe̍h tshì","oo-peh8 tshi3","烏白試","烏白試","亂試","匿名"
"16","tōa-lia̍p-nn̄g","toa7-liap8-nng7","tuā-lia̍p-nn̄g","tua7-liap8-nng7","大粒卵","大粒卵","巨蛋","匿名"
"17","chheⁿ-hoe/chhiⁿ-hoe","chhenn-hoe/chhinn-hoe","tshenn-hue/tshinn-hue","tshenn-hue/tshinn-hue","青花","青花","青花菜","匿名"
"18","phō khì bong","pho7 khi3 bong","phō khì bong","pho7 khi3 bong","抱去摸","抱去摸","神奇寶貝","匿名"
"19","chun-siú kui-kí","chun-siu2 kui-ki2","tsun-siú kui-kí","tsun-siu2 kui-ki2","遵守規矩","遵守規矩","遵守規矩","匿名"
"20","chhùi","chhui3","tshuì","tshui3","喙","喙","口","匿名"
"21","ūi-cho-cho","ui7-cho-cho","uī-tso-tso","ui7-tso-tso","胃慒慒","胃慒慒","胃不舒服","匿名"
"22","sin-seⁿ-á","sin-senn-a2","sin-senn-á","sin-senn-a2","新生仔","新生仔","新生兒","匿名"
"23","nn̄g-thah","nng7-thah","nn̄g-thah","nng7-thah","卵塔","卵塔","蛋塔","匿名"
"24","khàu-iau","khau3-iau","khàu-iau","khau3-iau","哭枵","哭枵","靠腰","匿名"
"25","kha-chhiú bô chheng-khì","kha-chhiu2 bo5 chheng-khi3","kha-tshiú bô tshing-khì","kha-tshiu2 bo5 tshing-khi3","跤手無清氣","跤手無清氣","手腳不乾淨","匿名"
"26","ak-chak","ak-chak","ak-tsak","ak-tsak","齷齪","齷齪","煩","Fu-Hsuan Ju"
"27","Tâi-gí/Tâi-gú","Tai5-gi2/Tai5-gu2","Tâi-gí/Tâi-gú","Tai5-gi2/Tai5-gu2","台語","台語","台語","匿名"
"28","Bân-lâm-gí/Bân-lâm-gú","Ban5-lam5-gi2/Ban5-lam5-gu2","Bân-lâm-gí/Bân-lâm-gú","Ban5-lam5-gi2/Ban5-lam5-gu2","閩南語","閩南語","閩南語","匿名"
"29","lāu-thōe","lau7-thoe7","lāu-thuē","lau7-thue7","老傫","老傫","老年癡呆症","匿名"
"30","pēⁿ-kiáⁿ/pīⁿ-kiáⁿ","penn7-kiann2/pinn7-kiann2","pēnn-kiánn/pīnn-kiánn","penn7-kiann2/pinn7-kiann2","病囝","病囝","害喜","陳憲緯"
"31","cha-bó͘-kiáⁿ-chha̍t","cha-boo2-kiann2-chhat8","tsa-bóo-kiánn-tsha̍t","tsa-boo2-kiann2-tshat8","查某囝賊","查某囝賊","女兒賊","陳憲緯"
"32","khàu-iau","khau3-iau","khàu-iau","khau3-iau","哭枵","哭枵","靠腰","陳憲緯"
"33","kha-thâu-u","kha-thau5-u","kha-thâu-u","kha-thau5-u","跤頭趺","跤頭趺","膝","Miao Chiang Yen"
"34","chù-siā","chu3-sia7","tsù-siā","tsu3-sia7","注射","注射","注射","Miao Chiang Yen"
"35","sí-gín-á-pó͘","si2-gin2-a2-poo2","sí-gín-á-póo","si2-gin2-a2-poo2","死囡仔脯","死囡仔脯","小屁孩","Miao Chiang Yen"
"36","chia̍h-pn̄g","chiah8-png7","tsia̍h-pn̄g","tsiah8-png7","食飯","食飯","吃飯","Miao Chiang Yen"
"37","āu-piah ê","au7-piah e5","āu-piah ê","au7-piah e5","後壁的","後壁的","後面的","Miao Chiang Yen"
"38","kóng-pò͘ tiān-tâi","kong2-poo3 tian7-tai5","kóng-pòo tiān-tâi","kong2-poo3 tian7-tai5","廣播電台","廣播電台","廣播電台","Miao Chiang Yen"
"39","chhùi-khí-thiàⁿ","chhui3-khi2-thiann3","tshuì-khí-thiànn","tshui3-khi2-thiann3","喙齒疼","喙齒疼","牙痛","Miao Chiang Yen"
"40","Iâm-lô-chheⁿ/Iâm-lô-chhiⁿ","Iam5-lo5-chhenn/Iam5-lo5-chhinn","Iâm-lô-tshenn/Iâm-lô-tshinn","Iam5-lo5-tshenn/Iam5-lo5-tshinn","閻羅星","閻羅星","冥王星","匿名"
