"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"á","a2","á","a2","1"
"á-sī","a2-si7","á-sī","a2-si7","1"
"a","a","a","a","2"
"a-chó͘","a-choo2","a-tsóo","a-tsoo2","3"
"lāi-chó͘","lai7-choo2","lāi-tsóo","lai7-tsoo2","3"
"a-chó͘","a-choo2","a-tsóo","a-tsoo2","4"
"gōa-chó͘","goa7-choo2","guā-tsóo","gua7-tsoo2","4"
"a-kong","a-kong","a-kong","a-kong","5"
"lāi-kong","lai7-kong","lāi-kong","lai7-kong","5"
"a-kong","a-kong","a-kong","a-kong","6"
"gōa-kong","goa7-kong","guā-kong","gua7-kong","6"
"a-má","a-ma2","a-má","a-ma2","7"
"lāi-má","lai7-ma2","lāi-má","lai7-ma2","7"
"a-mà","a-ma3","a-mà","a-ma3","8"
"gōa-má","goa7-ma2","guā-má","gua7-ma2","8"
"a-ko͘","a-koo","a-koo","a-koo","9"
"ko͘-tiūⁿ","koo-tiunn7","koo-tiūnn","koo-tiunn7","10"
"a-kū","a-ku7","a-kū","a-ku7","11"
"a-kīm","a-kim7","a-kīm","a-kim7","12"
"a-î","a-i5","a-î","a-i5","13"
"î-tiūⁿ","i5-tiunn7","î-tiūnn","i5-tiunn7","14"
"a-peh","a-peh","a-peh","a-peh","15"
"a-ḿ","a-m2","a-ḿ","a-m2","16"
"a-chek","a-chek","a-tsik","a-tsik","17"
"a-chím","a-chim2","a-tsím","a-tsim2","18"
"a-hiaⁿ","a-hiann","a-hiann","a-hiann","19"
"a-só","a-so2","a-só","a-so2","20"
"a-chiu","a-chiu","a-tsiu","a-tsiu","21"
"a-phiàn","a-phian3","a-phiàn","a-phian3","22"
"āⁿ","ann7","ānn","ann7","23"
"àⁿ lo̍h-khì","ann3 loh8-khi3","ànn lo̍h-khì","ann3 loh8-khi3","24"
"ah","ah","ah","ah","25"
"ah-á","ah-a2","ah-á","ah-a2","25"
"ah-bú","ah-bu2","ah-bú","ah-bu2","26"
"ah-bó","ah-bo2","ah-bó","ah-bo2","26"
"ah-kang","ah-kang","ah-kang","ah-kang","27"
"ah-nn̄g","ah-nng7","ah-nn̄g","ah-nng7","28"
"ah-ban","ah-ban","ah-ban","ah-ban","29"
"ài","ai3","ài","ai3","30"
"chin-ài","chin-ai3","tsin-ài","tsin-ai3","31"
"chin-bô-ài","chin-bo5-ai3","tsin-bô-ài","tsin-bo5-ai3","32"
"khah-ài","khah-ai3","khah-ài","khah-ai3","33"
"khah bô-ài","khah bo5-ai3","khah bô-ài","khah bo5-ai3","34"
"lóng-ài","long2-ai3","lóng-ài","long2-ai3","35"
"lóng bô-ài","long2 bo5-ai3","lóng bô-ài","long2 bo5-ai3","36"
"bô sím-mih ài","bo5 sim2-mih ai3","bô sím-mih ài","bo5 sim2-mih ai3","37"
"ke̍k-ài","kek8-ai3","ke̍k-ài","kek8-ai3","38"
"put-chí-ài","put-chi2-ai3","put-tsí-ài","put-tsi2-ai3","39"
"hui-siông ài","hui-siong5 ai3","hui-siông ài","hui-siong5 ai3","40"
"siōng-ài","siong7-ai3","siōng-ài","siong7-ai3","41"
"tē it ài","te7 it ai3","tē it ài","te7 it ai3","42"
"ài","ai3","ài","ai3","43"
"ài-bō͘","ai3-boo7","ài-bōo","ai3-boo7","44"
"ài-khùn","ai3-khun3","ài-khùn","ai3-khun3","45"
"ài-jîn","ai3-jin5","ài-jîn","ai3-jin5","46"
"ài-chêng","ai3-cheng5","ài-tsîng","ai3-tsing5","47"
"ài-kok-sim","ai3-kok-sim","ài-kok-sim","ai3-kok-sim","48"
"ai-kiû","ai-kiu5","ai-kiû","ai-kiu5","49"
"ai-keng","ai-keng","ai-king","ai-king","50"
"ai-ki̍p","ai-kip8","ai-ki̍p","ai-kip8","51"
"ài-māi","ai3-mai7","ài-māi","ai3-mai7","52"
"āiⁿ","ainn7","āinn","ainn7","53"
"ak-hoe","ak-hoe","ak-hue","ak-hue","54"
"ak-hō͘","ak-hoo7","ak-hōo","ak-hoo7","55"
"ak-tio̍h-hō͘","ak-tioh8-hoo7","ak-tio̍h-hōo","ak-tioh8-hoo7","56"
"ak-chúi","ak-chui2","ak-tsuí","ak-tsui2","57"
"ak-chhiú","ak-chhiu2","ak-tshiú","ak-tshiu2","58"
"àm-sî","am3-si5","àm-sî","am3-si5","59"
"àm","am3","àm","am3","60"
"eng-àm","eng-am3","ing-àm","ing-am3","61"
"chang-àm","chang-am3","tsang-àm","tsang-am3","62"
"boeh-àm-á","boeh-am3-a2","bueh-àm-á","bueh-am3-a2","63"
"boeh-àm-á-sî","boeh-am3-a2-si5","bueh-àm-á-sî","bueh-am3-a2-si5","63"
"àm-khò","am3-kho3","àm-khò","am3-kho3","64"
"liām àm-khò","liam7 am3-kho3","liām àm-khò","liam7 am3-kho3","65"
"ám","am2","ám","am2","66"
"khó","kho2","khó","kho2","66"
"ám-môe","am2-moe5","ám-muê","am2-mue5","67"
"àm-kì","am3-ki3","àm-kì","am3-ki3","68"
"àm-siōng","am3-siong7","àm-siōng","am3-siong7","69"
"àm-hō","am3-ho7","àm-hō","am3-ho7","70"
"àm-sek","am3-sek","àm-sik","am3-sik","71"
"àm-sat","am3-sat","àm-sat","am3-sat","72"
"àm-sī","am3-si7","àm-sī","am3-si7","73"
"âm-khang","am5-khang","âm-khang","am5-khang","74"
"án-chóaⁿ","an2-choann2","án-tsuánn","an2-tsuann2","75"
"chái-iūⁿ","chai2-iunn7","tsái-iūnn","tsai2-iunn7","75"
"ná","na2","ná","na2","75"
"án-ni","an2-ni","án-ni","an2-ni","76"
"ân","an5","ân","an5","77"
"an-choân","an-choan5","an-tsuân","an-tsuan5","78"
"an-choân tē-it","an-choan5 te7-it","an-tsuân tē-it","an-tsuan5 te7-it","79"
"an-sim","an-sim","an-sim","an-sim","80"
"an-lo̍k","an-lok8","an-lo̍k","an-lok8","81"
"an-ún","an-un2","an-ún","an-un2","82"
"an-ùi","an-ui3","an-uì","an-ui3","83"
"àn-sǹg","an3-sng3","àn-sǹg","an3-sng3","84"
"àn-kiāⁿ","an3-kiann7","àn-kiānn","an3-kiann7","85"
"âng","ang5","âng","ang5","86"
"âng-sek","ang5-sek","âng-sik","ang5-sik","87"
"âng-tê","ang5-te5","âng-tê","ang5-te5","88"
"âng-iⁿ-á","ang5-inn-a2","âng-inn-á","ang5-inn-a2","89"
"âng-eⁿ-á","ang5-enn-a2","âng-enn-á","ang5-enn-a2","89"
"seⁿ âng-eⁿ-á","senn ang5-enn-a2","senn âng-enn-á","senn ang5-enn-a2","90"
