"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"siān-neh","sian7-neh","siān-neh","sian7-neh","1"
"sú-sū","su2-su7","sú-sū","su2-su7","2"
"tiám-lu-êng-bō͘","tiam2-lu-eng5-boo7","tiám-lu-îng-bōo","tiam2-lu-ing5-boo7","3"
"tōa-lâng chhōa gín-á khì chhit-thô","toa7-lang5 chhoa7 gin2-a2 khi3 chhit-tho5","tuā-lâng tshuā gín-á khì tshit-thô","tua7-lang5 tshua7 gin2-a2 khi3 tshit-tho5","4"
"siá khó͘","sia2 khoo2","siá khóo","sia2 khoo2","5"
"hia̍p-koh","hiap8-koh","hia̍p-koh","hiap8-koh","6"
"kip-sò","kip-so3","kip-sò","kip-so3","7"
"pó-chhiⁿ-mo̍͘h","po2-chhinn-mooh8","pó-tshinn-mo̍oh","po2-tshinn-mooh8","8"
"chúi-chheⁿ tò-thâu kiâⁿ","chui2-chhenn to3-thau5 kiann5","tsuí-tshenn tò-thâu kiânn","tsui2-tshenn to3-thau5 kiann5","9"
"chhu-kiā","chhu-kia7","tshu-kiā","tshu-kia7","10"
"tē-tāng-bóe","te7-tang7-boe2","tē-tāng-bué","te7-tang7-bue2","11"
"góa bē-hiáu","goa2 be7-hiau2","guá bē-hiáu","gua2 be7-hiau2","12"
"phùi-that-á","phui3-that-a2","phuì-that-á","phui3-that-a2","13"
"hiông-sam hui-tôaⁿ","hiong5-sam hui-toann5","hiông-sam hui-tuânn","hiong5-sam hui-tuann5","14"
"o͘-pe̍h chhì","oo-peh8 chhi3","oo-pe̍h tshì","oo-peh8 tshi3","15"
"tōa-lia̍p-nn̄g","toa7-liap8-nng7","tuā-lia̍p-nn̄g","tua7-liap8-nng7","16"
"chheⁿ-hoe","chhenn-hoe","tshenn-hue","tshenn-hue","17"
"chhiⁿ-hoe","chhinn-hoe","tshinn-hue","tshinn-hue","17"
"phō khì bong","pho7 khi3 bong","phō khì bong","pho7 khi3 bong","18"
"chun-siú kui-kí","chun-siu2 kui-ki2","tsun-siú kui-kí","tsun-siu2 kui-ki2","19"
"chhùi","chhui3","tshuì","tshui3","20"
"ūi-cho-cho","ui7-cho-cho","uī-tso-tso","ui7-tso-tso","21"
"sin-seⁿ-á","sin-senn-a2","sin-senn-á","sin-senn-a2","22"
"nn̄g-thah","nng7-thah","nn̄g-thah","nng7-thah","23"
"khàu-iau","khau3-iau","khàu-iau","khau3-iau","24"
"kha-chhiú bô chheng-khì","kha-chhiu2 bo5 chheng-khi3","kha-tshiú bô tshing-khì","kha-tshiu2 bo5 tshing-khi3","25"
"ak-chak","ak-chak","ak-tsak","ak-tsak","26"
"Tâi-gí","Tai5-gi2","Tâi-gí","Tai5-gi2","27"
"Tâi-gú","Tai5-gu2","Tâi-gú","Tai5-gu2","27"
"Bân-lâm-gí","Ban5-lam5-gi2","Bân-lâm-gí","Ban5-lam5-gi2","28"
"Bân-lâm-gú","Ban5-lam5-gu2","Bân-lâm-gú","Ban5-lam5-gu2","28"
"lāu-thōe","lau7-thoe7","lāu-thuē","lau7-thue7","29"
"pēⁿ-kiáⁿ","penn7-kiann2","pēnn-kiánn","penn7-kiann2","30"
"pīⁿ-kiáⁿ","pinn7-kiann2","pīnn-kiánn","pinn7-kiann2","30"
"cha-bó͘-kiáⁿ-chha̍t","cha-boo2-kiann2-chhat8","tsa-bóo-kiánn-tsha̍t","tsa-boo2-kiann2-tshat8","31"
"khàu-iau","khau3-iau","khàu-iau","khau3-iau","32"
"kha-thâu-u","kha-thau5-u","kha-thâu-u","kha-thau5-u","33"
"chù-siā","chu3-sia7","tsù-siā","tsu3-sia7","34"
"sí-gín-á-pó͘","si2-gin2-a2-poo2","sí-gín-á-póo","si2-gin2-a2-poo2","35"
"chia̍h-pn̄g","chiah8-png7","tsia̍h-pn̄g","tsiah8-png7","36"
"āu-piah ê","au7-piah e5","āu-piah ê","au7-piah e5","37"
"kóng-pò͘ tiān-tâi","kong2-poo3 tian7-tai5","kóng-pòo tiān-tâi","kong2-poo3 tian7-tai5","38"
"chhùi-khí-thiàⁿ","chhui3-khi2-thiann3","tshuì-khí-thiànn","tshui3-khi2-thiann3","39"
"Iâm-lô-chheⁿ","Iam5-lo5-chhenn","Iâm-lô-tshenn","Iam5-lo5-tshenn","40"
"Iâm-lô-chhiⁿ","Iam5-lo5-chhinn","Iâm-lô-tshinn","Iam5-lo5-tshinn","40"
"Má-chó͘-chheⁿ","Ma2-choo2-chhenn","Má-tsóo-tshenn","Ma2-tsoo2-tshenn","41"
"Má-chó͘-chhiⁿ","Ma2-choo2-chhinn","Má-tsóo-tshinn","Ma2-tsoo2-tshinn","41"
"Thiⁿ-kong-chheⁿ","Thinn-kong-chhenn","Thinn-kong-tshenn","Thinn-kong-tshenn","42"
"Thiⁿ-kong-chhiⁿ","Thinn-kong-chhinn","Thinn-kong-tshinn","Thinn-kong-tshinn","42"
